Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2009,1,1,0,0,0,0,0,-5.499395751953102,10.618096923828148,953.832763671875,31.796220779418945,5.012306213378906,30.912601470947266,1.4148530960083008
2009,1,1,0,30,0,0,0,-4.764929199218727,10.427636718750023,953.6434326171875,34.04292678833008,5.0571393966674805,30.912601470947266,1.465926170349121
2009,1,1,1,0,0,0,0,-4.064825439453102,10.237176513671898,953.4540405273438,36.342811584472656,5.1019721031188965,44.055145263671875,1.516999363899231
2009,1,1,1,30,0,0,0,-4.781256103515602,10.015954589843773,953.47705078125,34.948795318603516,5.135840892791748,44.055145263671875,1.4856736660003662
2009,1,1,2,0,0,0,0,-5.533880615234352,9.794732666015648,953.5001220703125,33.505882263183594,5.1697096824646,63.34972381591797,1.454348087310791
2009,1,1,2,30,0,0,0,-4.605383300781227,9.519525146484398,953.5872802734375,36.613502502441406,5.288081645965576,63.34972381591797,1.4348864555358887
2009,1,1,3,0,0,0,0,-3.7304748535156023,9.244287109375023,953.6743774414062,39.829280853271484,5.406453609466553,77.19448852539062,1.4154248237609863
2009,1,1,3,30,0,0,0,-4.369635009765602,8.959283447265648,953.696533203125,38.701171875,5.545459270477295,77.19448852539062,1.4224841594696045
2009,1,1,4,0,0,0,0,-5.037451171874977,8.674279785156273,953.71875,37.51557540893555,5.684464931488037,77.6825942993164,1.4295436143875122
2009,1,1,4,30,0,0,0,-4.343878173828102,8.415979003906273,953.94140625,40.226741790771484,5.855430603027344,77.6825942993164,1.4890060424804688
