Module No.,Isc,Voc,Im,Vm,FF,Pm
753,7.3,20.6,5.4,16.6,68.97457159,106.25
754,7.3,20.6,5.4,16.6,68.97457159,106.25
887,7.3,20.6,5.4,16.6,68.97457159,106.25
888,7.3,20.6,5.4,16.6,68.97457159,106.25
1096,7.3,20.6,5.4,16.6,68.97457159,106.25
1113,7.3,20.6,5.4,16.6,68.97457159,106.25
1114,7.3,20.6,5.4,16.6,68.97457159,106.25
1115,7.3,20.6,5.4,16.6,68.97457159,106.25
1116,7.3,20.6,5.4,16.6,68.97457159,106.25
1301,7.3,20.6,5.4,16.6,68.97457159,106.25
1313,7.3,20.6,5.4,16.6,68.97457159,106.25
1331,7.3,20.6,5.4,16.6,68.97457159,106.25
1358,7.3,20.6,5.4,16.6,68.97457159,106.25
2045,7.3,20.6,5.4,16.6,68.97457159,106.25
2138,7.3,20.6,5.4,16.6,68.97457159,106.25
2139,7.3,20.6,5.4,16.6,68.97457159,106.25
2156,7.3,20.6,5.4,16.6,68.97457159,106.25
2157,7.3,20.6,5.4,16.6,68.97457159,106.25
2158,7.3,20.6,5.4,16.6,68.97457159,106.25
2160,7.3,20.6,5.4,16.6,68.97457159,106.25
2165,7.3,20.6,5.4,16.6,68.97457159,106.25
2167,7.3,20.6,5.4,16.6,68.97457159,106.25
2225,7.3,20.6,5.4,16.6,68.97457159,106.25
2226,7.3,20.6,5.4,16.6,68.97457159,106.25
2259,7.3,20.6,5.4,16.6,68.97457159,106.25
2263,7.3,20.6,5.4,16.6,68.97457159,106.25
2264,7.3,20.6,5.4,16.6,68.97457159,106.25
2484,7.3,20.6,5.4,16.6,68.97457159,106.25
1111,7.3,20.6,5.4,16.6,68.97457159,106.25
1112,7.3,20.6,5.4,16.6,68.97457159,106.25
1121,7.3,20.6,5.4,16.6,68.97457159,106.25
1122,7.3,20.6,5.4,16.6,68.97457159,106.25
1123,7.3,20.6,5.4,16.6,68.97457159,106.25
2030,7.3,20.6,5.4,16.6,68.97457159,106.25
2031,7.3,20.6,5.4,16.6,68.97457159,106.25
2205,7.3,20.6,5.4,16.6,68.97457159,106.25
2206,7.3,20.6,5.4,16.6,68.97457159,106.25
2207,7.3,20.6,5.4,16.6,68.97457159,106.25
2208,7.3,20.6,5.4,16.6,68.97457159,106.25
2209,7.3,20.6,5.4,16.6,68.97457159,106.25
2210,7.3,20.6,5.4,16.6,68.97457159,106.25
2265,7.3,20.6,5.4,16.6,68.97457159,106.25
2325,7.3,20.6,5.4,16.6,68.97457159,106.25
2330,7.3,20.6,5.4,16.6,68.97457159,106.25
2331,7.3,20.6,5.4,16.6,68.97457159,106.25
2332,7.3,20.6,5.4,16.6,68.97457159,106.25
2333,7.3,20.6,5.4,16.6,68.97457159,106.25
2363,7.3,20.6,5.4,16.6,68.97457159,106.25
2364,7.3,20.6,5.4,16.6,68.97457159,106.25
2406,7.3,20.6,5.4,16.6,68.97457159,106.25
2407,7.3,20.6,5.4,16.6,68.97457159,106.25
2408,7.3,20.6,5.4,16.6,68.97457159,106.25
2410,7.3,20.6,5.4,16.6,68.97457159,106.25
2445,7.3,20.6,5.4,16.6,68.97457159,106.25
2446,7.3,20.6,5.4,16.6,68.97457159,106.25
2535,7.3,20.6,5.4,16.6,68.97457159,106.25
826,7.3,20.6,5.4,16.6,68.97457159,106.25
838,7.3,20.6,5.4,16.6,68.97457159,106.25
1144,7.3,20.6,5.4,16.6,68.97457159,106.25
1145,7.3,20.6,5.4,16.6,68.97457159,106.25
1265,7.3,20.6,5.4,16.6,68.97457159,106.25
1721,7.3,20.6,5.4,16.6,68.97457159,106.25
1722,7.3,20.6,5.4,16.6,68.97457159,106.25
1816,7.3,20.6,5.4,16.6,68.97457159,106.25
1838,7.3,20.6,5.4,16.6,68.97457159,106.25
1839,7.3,20.6,5.4,16.6,68.97457159,106.25
1840,7.3,20.6,5.4,16.6,68.97457159,106.25
1849,7.3,20.6,5.4,16.6,68.97457159,106.25
1851,7.3,20.6,5.4,16.6,68.97457159,106.25
2016,7.3,20.6,5.4,16.6,68.97457159,106.25
2017,7.3,20.6,5.4,16.6,68.97457159,106.25
2018,7.3,20.6,5.4,16.6,68.97457159,106.25
2019,7.3,20.6,5.4,16.6,68.97457159,106.25
2020,7.3,20.6,5.4,16.6,68.97457159,106.25
2021,7.3,20.6,5.4,16.6,68.97457159,106.25
2046,7.3,20.6,5.4,16.6,68.97457159,106.25
2047,7.3,20.6,5.4,16.6,68.97457159,106.25
2300,7.3,20.6,5.4,16.6,68.97457159,106.25
2301,7.3,20.6,5.4,16.6,68.97457159,106.25
2361,7.3,20.6,5.4,16.6,68.97457159,106.25
2362,7.3,20.6,5.4,16.6,68.97457159,106.25
10122,7.3,20.6,5.4,16.6,68.97457159,106.25
10123,7.3,20.6,5.4,16.6,68.97457159,106.25
10124,7.3,20.6,5.4,16.6,68.97457159,106.25
874,7.3,20.6,5.4,16.6,68.97457159,106.25
875,7.3,20.6,5.4,16.6,68.97457159,106.25
876,7.3,20.6,5.4,16.6,68.97457159,106.25
877,7.3,20.6,5.4,16.6,68.97457159,106.25
882,7.3,20.6,5.4,16.6,68.97457159,106.25
883,7.3,20.6,5.4,16.6,68.97457159,106.25
884,7.3,20.6,5.4,16.6,68.97457159,106.25
885,7.3,20.6,5.4,16.6,68.97457159,106.25
893,7.3,20.6,5.4,16.6,68.97457159,106.25
894,7.3,20.6,5.4,16.6,68.97457159,106.25
895,7.3,20.6,5.4,16.6,68.97457159,106.25
896,7.3,20.6,5.4,16.6,68.97457159,106.25
905,7.3,20.6,5.4,16.6,68.97457159,106.25
906,7.3,20.6,5.4,16.6,68.97457159,106.25
907,7.3,20.6,5.4,16.6,68.97457159,106.25
908,7.3,20.6,5.4,16.6,68.97457159,106.25
910,7.3,20.6,5.4,16.6,68.97457159,106.25
911,7.3,20.6,5.4,16.6,68.97457159,106.25
912,7.3,20.6,5.4,16.6,68.97457159,106.25
913,7.3,20.6,5.4,16.6,68.97457159,106.25
918,7.3,20.6,5.4,16.6,68.97457159,106.25
919,7.3,20.6,5.4,16.6,68.97457159,106.25
921,7.3,20.6,5.4,16.6,68.97457159,106.25
922,7.3,20.6,5.4,16.6,68.97457159,106.25
959,7.3,20.6,5.4,16.6,68.97457159,106.25
1251,7.3,20.6,5.4,16.6,68.97457159,106.25
1252,7.3,20.6,5.4,16.6,68.97457159,106.25
1310,7.3,20.6,5.4,16.6,68.97457159,106.25
242,7.3,20.6,5.4,16.6,68.97457159,106.25
243,7.3,20.6,5.4,16.6,68.97457159,106.25
244,7.3,20.6,5.4,16.6,68.97457159,106.25
245,7.3,20.6,5.4,16.6,68.97457159,106.25
246,7.3,20.6,5.4,16.6,68.97457159,106.25
247,7.3,20.6,5.4,16.6,68.97457159,106.25
248,7.3,20.6,5.4,16.6,68.97457159,106.25
249,7.3,20.6,5.4,16.6,68.97457159,106.25
263,7.3,20.6,5.4,16.6,68.97457159,106.25
267,7.3,20.6,5.4,16.6,68.97457159,106.25
269,7.3,20.6,5.4,16.6,68.97457159,106.25
1076,7.3,20.6,5.4,16.6,68.97457159,106.25
1077,7.3,20.6,5.4,16.6,68.97457159,106.25
1078,7.3,20.6,5.4,16.6,68.97457159,106.25
1079,7.3,20.6,5.4,16.6,68.97457159,106.25
1080,7.3,20.6,5.4,16.6,68.97457159,106.25
1081,7.3,20.6,5.4,16.6,68.97457159,106.25
1082,7.3,20.6,5.4,16.6,68.97457159,106.25
1083,7.3,20.6,5.4,16.6,68.97457159,106.25
1084,7.3,20.6,5.4,16.6,68.97457159,106.25
1085,7.3,20.6,5.4,16.6,68.97457159,106.25
1242,7.3,20.6,5.4,16.6,68.97457159,106.25
1243,7.3,20.6,5.4,16.6,68.97457159,106.25
1247,7.3,20.6,5.4,16.6,68.97457159,106.25
1248,7.3,20.6,5.4,16.6,68.97457159,106.25
1249,7.3,20.6,5.4,16.6,68.97457159,106.25
1250,7.3,20.6,5.4,16.6,68.97457159,106.25
1264,7.3,20.6,5.4,16.6,68.97457159,106.25
1023,7.3,20.6,5.4,16.6,68.97457159,106.25
10212,7.3,20.6,5.4,16.6,68.97457159,106.25
10213,7.3,20.6,5.4,16.6,68.97457159,106.25
10214,7.3,20.6,5.4,16.6,68.97457159,106.25
10215,7.3,20.6,5.4,16.6,68.97457159,106.25
10216,7.3,20.6,5.4,16.6,68.97457159,106.25
10222,7.3,20.6,5.4,16.6,68.97457159,106.25
10273,7.3,20.6,5.4,16.6,68.97457159,106.25
10277,7.3,20.6,5.4,16.6,68.97457159,106.25
10289,7.3,20.6,5.4,16.6,68.97457159,106.25
10290,7.3,20.6,5.4,16.6,68.97457159,106.25
10316,7.3,20.6,5.4,16.6,68.97457159,106.25
10317,7.3,20.6,5.4,16.6,68.97457159,106.25
10318,7.3,20.6,5.4,16.6,68.97457159,106.25
10319,7.3,20.6,5.4,16.6,68.97457159,106.25
10320,7.3,20.6,5.4,16.6,68.97457159,106.25
10321,7.3,20.6,5.4,16.6,68.97457159,106.25
10322,7.3,20.6,5.4,16.6,68.97457159,106.25
10324,7.3,20.6,5.4,16.6,68.97457159,106.25
10340,7.3,20.6,5.4,16.6,68.97457159,106.25
10341,7.3,20.6,5.4,16.6,68.97457159,106.25
10343,7.3,20.6,5.4,16.6,68.97457159,106.25
10344,7.3,20.6,5.4,16.6,68.97457159,106.25
10345,7.3,20.6,5.4,16.6,68.97457159,106.25
10346,7.3,20.6,5.4,16.6,68.97457159,106.25
12533,7.3,20.6,5.4,16.6,68.97457159,106.25
102017,7.3,20.6,5.4,16.6,68.97457159,106.25
152,7.3,20.6,5.4,16.6,68.97457159,106.25
153,7.3,20.6,5.4,16.6,68.97457159,106.25
154,7.3,20.6,5.4,16.6,68.97457159,106.25
155,7.3,20.6,5.4,16.6,68.97457159,106.25
156,7.3,20.6,5.4,16.6,68.97457159,106.25
157,7.3,20.6,5.4,16.6,68.97457159,106.25
158,7.3,20.6,5.4,16.6,68.97457159,106.25
159,7.3,20.6,5.4,16.6,68.97457159,106.25
160,7.3,20.6,5.4,16.6,68.97457159,106.25
161,7.3,20.6,5.4,16.6,68.97457159,106.25
162,7.3,20.6,5.4,16.6,68.97457159,106.25
163,7.3,20.6,5.4,16.6,68.97457159,106.25
164,7.3,20.6,5.4,16.6,68.97457159,106.25
183,7.3,20.6,5.4,16.6,68.97457159,106.25
184,7.3,20.6,5.4,16.6,68.97457159,106.25
185,7.3,20.6,5.4,16.6,68.97457159,106.25
186,7.3,20.6,5.4,16.6,68.97457159,106.25
187,7.3,20.6,5.4,16.6,68.97457159,106.25
189,7.3,20.6,5.4,16.6,68.97457159,106.25
191,7.3,20.6,5.4,16.6,68.97457159,106.25
193,7.3,20.6,5.4,16.6,68.97457159,106.25
203,7.3,20.6,5.4,16.6,68.97457159,106.25
223,7.3,20.6,5.4,16.6,68.97457159,106.25
250,7.3,20.6,5.4,16.6,68.97457159,106.25
251,7.3,20.6,5.4,16.6,68.97457159,106.25
252,7.3,20.6,5.4,16.6,68.97457159,106.25
271,7.3,20.6,5.4,16.6,68.97457159,106.25
272,7.3,20.6,5.4,16.6,68.97457159,106.25
10008,7.3,20.6,5.4,16.6,68.97457159,106.25
11141,7.3,20.6,5.4,16.6,68.97457159,106.25
12178,7.3,20.6,5.4,16.6,68.97457159,106.25
1279,7.3,20.6,5.4,16.6,68.97457159,106.25
12180,7.3,20.6,5.4,16.6,68.97457159,106.25
12181,7.3,20.6,5.4,16.6,68.97457159,106.25
12182,7.3,20.6,5.4,16.6,68.97457159,106.25
12183,7.3,20.6,5.4,16.6,68.97457159,106.25
12184,7.3,20.6,5.4,16.6,68.97457159,106.25
12185,7.3,20.6,5.4,16.6,68.97457159,106.25
12186,7.3,20.6,5.4,16.6,68.97457159,106.25
12198,7.3,20.6,5.4,16.6,68.97457159,106.25
12199,7.3,20.6,5.4,16.6,68.97457159,106.25
12200,7.3,20.6,5.4,16.6,68.97457159,106.25
12201,7.3,20.6,5.4,16.6,68.97457159,106.25
12411,7.3,20.6,5.4,16.6,68.97457159,106.25
12413,7.3,20.6,5.4,16.6,68.97457159,106.25
12457,7.3,20.6,5.4,16.6,68.97457159,106.25
12456,7.3,20.6,5.4,16.6,68.97457159,106.25
12459,7.3,20.6,5.4,16.6,68.97457159,106.25
12460,7.3,20.6,5.4,16.6,68.97457159,106.25
12463,7.3,20.6,5.4,16.6,68.97457159,106.25
12464,7.3,20.6,5.4,16.6,68.97457159,106.25
12547,7.3,20.6,5.4,16.6,68.97457159,106.25
12548,7.3,20.6,5.4,16.6,68.97457159,106.25
12549,7.3,20.6,5.4,16.6,68.97457159,106.25
2194,7.3,20.6,5.4,16.6,68.97457159,106.25
2195,7.3,20.6,5.4,16.6,68.97457159,106.25
2196,7.3,20.6,5.4,16.6,68.97457159,106.25
2197,7.3,20.6,5.4,16.6,68.97457159,106.25
2212,7.3,20.6,5.4,16.6,68.97457159,106.25
2227,7.3,20.6,5.4,16.6,68.97457159,106.25
2228,7.3,20.6,5.4,16.6,68.97457159,106.25
2229,7.3,20.6,5.4,16.6,68.97457159,106.25
2230,7.3,20.6,5.4,16.6,68.97457159,106.25
2240,7.3,20.6,5.4,16.6,68.97457159,106.25
2241,7.3,20.6,5.4,16.6,68.97457159,106.25
2305,7.3,20.6,5.4,16.6,68.97457159,106.25
2306,7.3,20.6,5.4,16.6,68.97457159,106.25
2307,7.3,20.6,5.4,16.6,68.97457159,106.25
2308,7.3,20.6,5.4,16.6,68.97457159,106.25
2309,7.3,20.6,5.4,16.6,68.97457159,106.25
2310,7.3,20.6,5.4,16.6,68.97457159,106.25
2311,7.3,20.6,5.4,16.6,68.97457159,106.25
2344,7.3,20.6,5.4,16.6,68.97457159,106.25
2348,7.3,20.6,5.4,16.6,68.97457159,106.25
2470,7.3,20.6,5.4,16.6,68.97457159,106.25
2471,7.3,20.6,5.4,16.6,68.97457159,106.25
2476,7.3,20.6,5.4,16.6,68.97457159,106.25
2546,7.3,20.6,5.4,16.6,68.97457159,106.25
24766,7.3,20.6,5.4,16.6,68.97457159,106.25
24767,7.3,20.6,5.4,16.6,68.97457159,106.25
24768,7.3,20.6,5.4,16.6,68.97457159,106.25
24769,7.3,20.6,5.4,16.6,68.97457159,106.25
780,7.3,20.6,5.4,16.6,68.97457159,106.25
782,7.3,20.6,5.4,16.6,68.97457159,106.25
783,7.3,20.6,5.4,16.6,68.97457159,106.25
2116,7.3,20.6,5.4,16.6,68.97457159,106.25
2117,7.3,20.6,5.4,16.6,68.97457159,106.25
2118,7.3,20.6,5.4,16.6,68.97457159,106.25
2119,7.3,20.6,5.4,16.6,68.97457159,106.25
2168,7.3,20.6,5.4,16.6,68.97457159,106.25
2169,7.3,20.6,5.4,16.6,68.97457159,106.25
2170,7.3,20.6,5.4,16.6,68.97457159,106.25
2172,7.3,20.6,5.4,16.6,68.97457159,106.25
2173,7.3,20.6,5.4,16.6,68.97457159,106.25
2187,7.3,20.6,5.4,16.6,68.97457159,106.25
2188,7.3,20.6,5.4,16.6,68.97457159,106.25
2202,7.3,20.6,5.4,16.6,68.97457159,106.25
2203,7.3,20.6,5.4,16.6,68.97457159,106.25
2204,7.3,20.6,5.4,16.6,68.97457159,106.25
2221,7.3,20.6,5.4,16.6,68.97457159,106.25
2222,7.3,20.6,5.4,16.6,68.97457159,106.25
2223,7.3,20.6,5.4,16.6,68.97457159,106.25
2453,7.3,20.6,5.4,16.6,68.97457159,106.25
2454,7.3,20.6,5.4,16.6,68.97457159,106.25
2455,7.3,20.6,5.4,16.6,68.97457159,106.25
2531,7.3,20.6,5.4,16.6,68.97457159,106.25
2532,7.3,20.6,5.4,16.6,68.97457159,106.25
2562,7.3,20.6,5.4,16.6,68.97457159,106.25
0,7.3,20.6,5.4,16.6,68.97457159,106.25
1,7.3,20.6,5.4,16.6,68.97457159,106.25
933,7.3,20.6,5.4,16.6,68.97457159,106.25
985,7.3,20.6,5.4,16.6,68.97457159,106.25
990,7.3,20.6,5.4,16.6,68.97457159,106.25
991,7.3,20.6,5.4,16.6,68.97457159,106.25
992,7.3,20.6,5.4,16.6,68.97457159,106.25
993,7.3,20.6,5.4,16.6,68.97457159,106.25
994,7.3,20.6,5.4,16.6,68.97457159,106.25
995,7.3,20.6,5.4,16.6,68.97457159,106.25
997,7.3,20.6,5.4,16.6,68.97457159,106.25
998,7.3,20.6,5.4,16.6,68.97457159,106.25
1004,7.3,20.6,5.4,16.6,68.97457159,106.25
1005,7.3,20.6,5.4,16.6,68.97457159,106.25
1058,7.3,20.6,5.4,16.6,68.97457159,106.25
1059,7.3,20.6,5.4,16.6,68.97457159,106.25
1253,7.3,20.6,5.4,16.6,68.97457159,106.25
1292,7.3,20.6,5.4,16.6,68.97457159,106.25
1293,7.3,20.6,5.4,16.6,68.97457159,106.25
1363,7.3,20.6,5.4,16.6,68.97457159,106.25
1364,7.3,20.6,5.4,16.6,68.97457159,106.25
1365,7.3,20.6,5.4,16.6,68.97457159,106.25
1366,7.3,20.6,5.4,16.6,68.97457159,106.25
1465,7.3,20.6,5.4,16.6,68.97457159,106.25
1466,7.3,20.6,5.4,16.6,68.97457159,106.25
1467,7.3,20.6,5.4,16.6,68.97457159,106.25
1468,7.3,20.6,5.4,16.6,68.97457159,106.25
10934,7.3,20.6,5.4,16.6,68.97457159,106.25
14,7.3,20.6,5.4,16.6,68.97457159,106.25
16,7.3,20.6,5.4,16.6,68.97457159,106.25
17,7.3,20.6,5.4,16.6,68.97457159,106.25
18,7.3,20.6,5.4,16.6,68.97457159,106.25
19,7.3,20.6,5.4,16.6,68.97457159,106.25
20,7.3,20.6,5.4,16.6,68.97457159,106.25
39,7.3,20.6,5.4,16.6,68.97457159,106.25
44,7.3,20.6,5.4,16.6,68.97457159,106.25
45,7.3,20.6,5.4,16.6,68.97457159,106.25
49,7.3,20.6,5.4,16.6,68.97457159,106.25
