Local Time,JD,Ambient (°F),Temp(°C),WS(m/s),Exponential,E (W/m²)
8:15:00 AM,1,44.5,6.944444,0.74,0.026903,318.6
8:30:00 AM,1,45,7.222222,1.6,0.025223,349.4
8:45:00 AM,1,46.3,7.944444,0.85,0.026682,384
9:00:00 AM,1,47.6,8.666667,1.12,0.026148,412.9
9:15:00 AM,1,48.8,9.333333,0.76,0.026863,450.4
9:30:00 AM,1,50.1,10.05556,0.97,0.026443,488.4
9:45:00 AM,1,51.5,10.83333,1.2,0.025991,510.5
10:00:00 AM,1,53.1,11.72222,0.88,0.026622,519.8
10:15:00 AM,1,55.2,12.88889,0.56,0.027269,516.4
10:30:00 AM,1,54.7,12.61111,1.81,0.024829,546.6
10:45:00 AM,1,57.7,14.27778,0.77,0.026843,552.8
11:00:00 AM,1,57.1,13.94444,1.98,0.024514,557.2
11:15:00 AM,1,58.1,14.5,2.22,0.024077,559.4
11:30:00 AM,1,60.6,15.88889,0.96,0.026463,550.4
11:45:00 AM,1,61.7,16.5,1.08,0.026226,533.4
12:00:00 PM,1,62.7,17.05556,1.08,0.026226,523.2
12:15:00 PM,1,61.7,16.5,1.76,0.024922,508.6
12:30:00 PM,1,62.2,16.77778,1.82,0.02481,495.9
12:45:00 PM,1,62.6,17,2.12,0.024258,471.3
1:00:00 PM,1,62.7,17.05556,1.95,0.024569,447.7
1:15:00 PM,1,63.4,17.44444,1.54,0.025337,417.2
1:30:00 PM,1,63.4,17.44444,1.75,0.024941,385.6
1:45:00 PM,1,64.3,17.94444,1.55,0.025318,355
2:00:00 PM,1,64.4,18,1.23,0.025933,319
8:15:00 AM,2,53.9,12.16667,0.73,0.026924,342.1
8:30:00 AM,2,55.4,13,0.72,0.026944,380.9
8:45:00 AM,2,57.9,14.38889,0.03,0.028375,414.9
9:00:00 AM,2,59,15,0.22,0.027973,445.8
9:15:00 AM,2,58.9,14.94444,0.63,0.027126,473.1
9:30:00 AM,2,61,16.11111,0.18,0.028057,497.5
9:45:00 AM,2,62.3,16.83333,0.43,0.027536,518.2
10:00:00 AM,2,63,17.22222,0.69,0.027005,535.7
10:15:00 AM,2,63.1,17.27778,0.66,0.027065,548.3
10:30:00 AM,2,64.4,18,1.02,0.026344,556.2
10:45:00 AM,2,63.4,17.44444,1.21,0.025972,558.4
