Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,312952,-,-,-,33.45,-111.94,-7,378,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Precipitable Water,Wind Direction,Wind Speed
2005,1,1,0,0,0,0,0,4.227899169921898,7.114984130859398,953.6506958007812,81.8782958984375,12.743547439575195,331.52606201171875,0.3360130786895752
2005,1,1,0,30,0,0,0,4.208947753906273,6.874658203125023,953.602294921875,83.12742614746094,12.608765602111816,331.52606201171875,0.3410932421684265
2005,1,1,1,0,0,0,0,4.189996337890648,6.634301757812523,953.5538940429688,84.39813232421875,12.473983764648438,18.207069396972656,0.34617340564727783
2005,1,1,1,30,0,0,0,4.160760498046898,6.464898681640648,953.5426635742188,85.21231079101562,12.401827812194824,18.207069396972656,0.3835853338241577
2005,1,1,2,0,0,0,0,4.131463623046898,6.295526123046898,953.5314331054688,86.0350570678711,12.329671859741211,33.58564376831055,0.42099729180336
2005,1,1,2,30,0,0,0,4.093957519531273,6.150872802734398,953.6688232421875,86.66898345947266,12.445298194885254,33.58564376831055,0.4266121983528137
2005,1,1,3,0,0,0,0,4.056298828125023,6.006250000000023,953.80615234375,87.30764770507812,12.560925483703613,50.74739456176758,0.43222710490226746
2005,1,1,3,30,0,0,0,4.023461914062523,5.961419677734398,953.64208984375,87.37680053710938,12.705638885498047,50.74739456176758,0.49781686067581177
2005,1,1,4,0,0,0,0,3.9905639648437727,5.916619873046898,953.4780883789062,87.44551849365234,12.85035228729248,82.95854949951172,0.5634065866470337
2005,1,1,4,30,0,0,0,3.9820495605468977,6.242059326171898,953.7721557617188,85.45221710205078,12.923823356628418,82.95854949951172,0.7112357020378113
2005,1,1,5,0,0,0,0,3.9735046386718977,6.567498779296898,954.0662231445312,83.50891876220703,12.997294425964355,105.38153076171875,0.8590648174285889
